name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage_km_per_ltr,engine,max_power_bhp,seats,brand,car_age,brand_category,km_per_year,price_per_km,power_to_engine_ratio
Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,100000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai,8,Non-Luxury,12500.0,6.8,0.06356017191977077
Mahindra Verito 1.5 D4 BSIII,174000,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,Mahindra,13,Non-Luxury,7692.307692307692,1.74,0.04387405886379192
Honda WR-V i-DTEC VX,950000,50000.0,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,Honda,7,Non-Luxury,7142.857142857143,19.0,0.06582109479305741
Maruti Swift Dzire ZDI,525000,40000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,Maruti,9,Non-Luxury,4444.444444444444,13.125,0.05929487179487179
Maruti SX4 ZDI,600000,72000.0,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,Maruti,12,Non-Luxury,6000.0,8.333333333333334,0.07115384615384615
Tata Tigor 2017-2020 XZ,500000,35000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,Tata,6,Non-Luxury,5833.333333333333,14.285714285714286,0.06989991659716431
Maruti Baleno Delta 1.2,575000,45000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,8,Non-Luxury,5625.0,12.777777777777779,0.06942355889724311
Maruti Alto 800 LXI,275000,28000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,7,Non-Luxury,4000.0,9.821428571428571,0.059422110552763814
Chevrolet Enjoy TCDi LTZ 7 Seater,300000,70000.0,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,Chevrolet,11,Non-Luxury,6363.636363636364,4.285714285714286,0.05913461538461538
Maruti Wagon R LXI Minor,220000,120000.0,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,Maruti,15,Non-Luxury,8000.0,1.8333333333333333,0.06314797360980208
Maruti Omni E MPI STD BS IV,254999,25000.0,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,Maruti,6,Non-Luxury,4166.666666666667,10.19996,0.04296482412060302
Maruti Vitara Brezza LDi Option,670000,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,7,Non-Luxury,10000.0,9.571428571428571,0.07091346153846154
Fiat Palio 1.2 ELX,70000,50000.0,Petrol,Individual,Manual,Second Owner,18.9,1248.0,74.0,5.0,Fiat,21,Non-Luxury,2380.9523809523807,1.4,0.05929487179487179
Maruti Omni 8 Seater BSIV,150000,35000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,Maruti,12,Non-Luxury,2916.6666666666665,4.285714285714286,0.04396984924623116
Hyundai i20 1.2 Asta Dual Tone,730000,2388.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai,6,Non-Luxury,398.0,305.69514237855947,0.06836257309941521
Maruti Vitara Brezza LDi,650000,16200.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,7,Non-Luxury,2314.285714285714,40.123456790123456,0.07091346153846154
Maruti Alto 800 CNG LXI Optional,330000,10000.0,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,Maruti,5,Non-Luxury,2000.0,33.0,0.050628140703517586
Maruti Alto K10 VXI Airbag,366000,15000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,Maruti,5,Non-Luxury,3000.0,24.4,0.06723446893787574
Hyundai Verna VTVT 1.6 SX Option,1149000,5000.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,5,Non-Luxury,1000.0,229.8,0.07624135763670647
Datsun GO D,150000,42000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,Datsun,8,Non-Luxury,5250.0,3.5714285714285716,0.055926544240400666
Tata Safari DICOR 2.2 LX 4x2,425000,60000.0,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,Tata,13,Non-Luxury,4615.384615384615,7.083333333333333,0.06334557136301056
Maruti 800 Std,150000,76000.0,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,Maruti,12,Non-Luxury,6333.333333333333,1.9736842105263157,0.04648241206030151
Jeep Compass 1.4 Limited Plus BSIV,2100000,5000.0,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,Jeep,5,Non-Luxury,1000.0,420.0,0.11752192982456142
Honda City i VTEC VX,925000,28900.0,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,Honda,6,Non-Luxury,4816.666666666667,32.00692041522491,0.0783567134268537
Honda City V MT,425000,86300.0,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,Honda,11,Non-Luxury,7845.454545454545,4.92468134414832,0.07768871075484302
Maruti Swift Dzire VXi AT,675000,23300.0,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,Maruti,6,Non-Luxury,3883.3333333333335,28.969957081545065,0.06945697577276524
Maruti Vitara Brezza VDi,819999,32600.0,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,6,Non-Luxury,5433.333333333333,25.15334355828221,0.07091346153846154
Maruti Alto K10 VXI,390000,10300.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti,6,Non-Luxury,1716.6666666666667,37.86407766990291,0.06718436873747495
Toyota Fortuner 4x4 MT,1500000,77000.0,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,Toyota,10,Non-Luxury,7700.0,19.48051948051948,0.05650570087189805
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,Toyota,11,Non-Luxury,9000.0,7.070707070707071,0.040096230954290296
Mercedes-Benz B Class B180,1450000,27800.0,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,Mercedes-Benz,10,Luxury,2780.0,52.15827338129496,0.05632291180587961
Honda Amaze S Diesel,425000,49800.0,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,Honda,9,Non-Luxury,5533.333333333333,8.534136546184738,0.0658411214953271
Mitsubishi Pajero Sport 4X4,1090000,151000.0,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,Mitsubishi,11,Non-Luxury,13727.272727272728,7.218543046357616,0.07087605974969721
Honda City i DTEC S,600000,54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,Honda,9,Non-Luxury,6077.777777777777,10.968921389396709,0.06582109479305741
Maruti Ciaz Zeta,850000,64000.0,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,Maruti,6,Non-Luxury,10666.666666666666,13.28125,0.07062243502051983
Honda Jazz VX Diesel,525000,63000.0,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,Honda,9,Non-Luxury,7000.0,8.333333333333334,0.06582109479305741
Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,127700.0,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,Toyota,8,Non-Luxury,15962.5,12.920908379013312,0.062250453720508164
Toyota Innova 2.5 G (Diesel) 7 Seater,950000,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,Toyota,8,Non-Luxury,12375.0,9.595959595959595,0.04033680834001604
Audi A6 2.0 TDI Technology,1750000,33900.0,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,Audi,11,Luxury,3081.818181818182,51.62241887905605,0.08858231707317074
Toyota Corolla Altis 1.8 VL CVT,1590000,25000.0,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,Toyota,6,Non-Luxury,4166.666666666667,63.6,0.0767686318131257
Audi A6 2.0 TDI  Design Edition,1689999,50000.0,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,Audi,11,Luxury,4545.454545454545,33.79998,0.09539634146341464
Mercedes-Benz New C-Class 220 CDI AT,1425000,59000.0,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,Mercedes-Benz,11,Luxury,5363.636363636364,24.152542372881356,0.07932804479701354
Tata Manza ELAN Quadrajet BS IV,265000,120000.0,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,Tata,13,Non-Luxury,9230.76923076923,2.2083333333333335,0.07115384615384615
Hyundai i10 Magna,190000,110000.0,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,Hyundai,13,Non-Luxury,8461.538461538461,1.7272727272727273,0.06591478696741855
Hyundai i20 Asta 1.4 CRDi,425000,60000.0,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,Hyundai,11,Non-Luxury,5454.545454545455,7.083333333333333,0.06358166189111748
Maruti Swift Dzire ZDI,630000,147000.0,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,Maruti,9,Non-Luxury,16333.333333333334,4.285714285714286,0.05929487179487179
Ford Figo 1.2P Titanium MT,600000,25000.0,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,Ford,7,Non-Luxury,3571.4285714285716,24.0,0.0725752508361204
Maruti Baleno Delta 1.2,650000,30000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,5,Non-Luxury,6000.0,21.666666666666668,0.06942355889724311
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,40000.0,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,Volkswagen,8,Non-Luxury,5000.0,13.5,0.07242656875834447
Honda City i DTEC VX,630000,135000.0,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,Honda,9,Non-Luxury,15000.0,4.666666666666667,0.06582109479305741
Maruti Wagon R AMT VXI,448000,30000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,Maruti,6,Non-Luxury,5000.0,14.933333333333334,0.06713426853707415
Volkswagen Ameo 1.5 TDI Comfortline,500000,80000.0,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,Volkswagen,7,Non-Luxury,11428.57142857143,6.25,0.07251001335113486
Maruti Vitara Brezza VDi,745000,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,8,Non-Luxury,8750.0,10.642857142857142,0.07091346153846154
Maruti Vitara Brezza ZDi Plus AMT,1025000,9850.0,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,Maruti,5,Non-Luxury,1970.0,104.06091370558376,0.07091346153846154
Hyundai i10 Magna,235000,60000.0,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,Hyundai,13,Non-Luxury,4615.384615384615,3.9166666666666665,0.06591478696741855
Maruti Swift VDI Deca,630000,70000.0,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,Maruti,8,Non-Luxury,8750.0,9.0,0.05929487179487179
Toyota Fortuner 4x4 MT,1700000,78000.0,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,Toyota,9,Non-Luxury,8666.666666666666,21.794871794871796,0.05650570087189805
Maruti Swift Star VDI,450000,120000.0,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti,11,Non-Luxury,10909.09090909091,3.75,0.05929487179487179
Maruti Ertiga ZXI,450000,120000.0,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,Maruti,12,Non-Luxury,10000.0,3.75,0.06824471959213402
Tata Indica DLS,50000,70000.0,Diesel,Individual,Manual,First Owner,20.0,1396.0,88.73,5.0,Tata,21,Non-Luxury,3333.3333333333335,0.7142857142857143,0.06356017191977077
Volkswagen Vento Diesel Highline,450000,170000.0,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,Volkswagen,11,Non-Luxury,15454.545454545454,2.6470588235294117,0.06483103879849812
Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,140000.0,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,Toyota,8,Non-Luxury,17500.0,8.571428571428571,0.04033680834001604
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000.0,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,Ford,9,Non-Luxury,10000.0,6.777777777777778,0.06581441922563418
BMW X1 sDrive20i xLine,2500000,30000.0,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,BMW,8,Non-Luxury,3750.0,83.33333333333333,0.0945945945945946
Maruti Celerio ZXI MT BSIV,484999,10000.0,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti,7,Non-Luxury,1428.5714285714287,48.4999,0.06717434869739479
Datsun GO A Petrol,275000,49000.0,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,Datsun,8,Non-Luxury,6125.0,5.612244897959184,0.05596828046744574
Maruti Alto 800 VXI BSIV,315000,32000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,8,Non-Luxury,4000.0,9.84375,0.059422110552763814
Maruti Alto 800 LXI BSIV,275000,38000.0,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,8,Non-Luxury,4750.0,7.2368421052631575,0.059422110552763814
Maruti Swift VDI BSIV W ABS,475000,78000.0,Diesel,Dealer,Manual,First Owner,20.0,1197.0,81.83,5.0,Maruti,9,Non-Luxury,8666.666666666666,6.089743589743589,0.06836257309941521
Hyundai i10 Era 1.1,290000,28000.0,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,Hyundai,12,Non-Luxury,2333.3333333333335,10.357142857142858,0.06266114180478821
Maruti Omni 8 Seater BSIV,280000,32000.0,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,Maruti,7,Non-Luxury,4571.428571428572,8.75,0.04396984924623116
Maruti Wagon R LXI LPG BSIV,225000,44000.0,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,Maruti,14,Non-Luxury,3142.8571428571427,5.113636363636363,0.058316633266533066
Volkswagen Polo 1.2 MPI Comfortline,455000,42000.0,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,Volkswagen,9,Non-Luxury,4666.666666666667,10.833333333333334,0.06176961602671119
Hyundai i10 Magna 1.1L,351000,45000.0,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,Hyundai,9,Non-Luxury,5000.0,7.8,0.06266114180478821
Volkswagen Vento Petrol Highline,535000,12000.0,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,Volkswagen,12,Non-Luxury,1000.0,44.583333333333336,0.06483103879849812
Maruti Zen Estilo LXI BSIII,175000,55500.0,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,Maruti,15,Non-Luxury,3700.0,3.1531531531531534,0.06723446893787574
Hyundai i20 Asta Optional with Sunroof 1.2,525000,61500.0,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,Hyundai,11,Non-Luxury,5590.909090909091,8.536585365853659,0.06921470342522974
Maruti Swift Dzire LDI,600000,150000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,Maruti,8,Non-Luxury,18750.0,4.0,0.05929487179487179
Hyundai Xcent 1.2 Kappa SX Option AT,565000,72000.0,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,Hyundai,8,Non-Luxury,9000.0,7.847222222222222,0.06850459482038429
Maruti Alto LX BSIII,120000,68000.0,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,Maruti,16,Non-Luxury,4250.0,1.7647058823529411,0.05816582914572864
Hyundai i20 1.4 Asta Option,725000,110000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai,7,Non-Luxury,15714.285714285714,6.590909090909091,0.06356017191977077
Maruti Wagon R VXI,185000,77000.0,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,Maruti,15,Non-Luxury,5133.333333333333,2.4025974025974026,0.06718436873747495
Tata Manza Aura (ABS) Quadrajet,200000,100000.0,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,Tata,14,Non-Luxury,7142.857142857143,2.0,0.07211538461538461
Maruti Swift VXI,615000,10000.0,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,Maruti,5,Non-Luxury,2000.0,61.5,0.0683375104427736
Maruti Eeco 7 Seater Standard BSIV,270000,100000.0,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,Maruti,8,Non-Luxury,12500.0,2.7,0.061036789297658864
Maruti Baleno Zeta 1.2,610000,35000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,6,Non-Luxury,5833.333333333333,17.428571428571427,0.06942355889724311
Mahindra Scorpio VLX AT AIRBAG BSIV,625000,70000.0,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,Mahindra,10,Non-Luxury,7000.0,8.928571428571429,0.05507113354749885
Ford Freestyle Titanium Petrol BSIV,400000,5000.0,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,Ford,4,Non-Luxury,1250.0,80.0,0.0792964824120603
Hyundai Verna VTVT 1.6 SX,866000,37800.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,7,Non-Luxury,5400.0,22.91005291005291,0.07624135763670647
Volkswagen Passat 1.8 TSI MT,700000,114000.0,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,Volkswagen,14,Non-Luxury,8142.857142857143,6.140350877192983,0.08898776418242492
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,48000.0,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,Tata,14,Non-Luxury,3428.5714285714284,6.25,0.05546075085324232
Mahindra XUV500 W11 Option AWD,1700000,32000.0,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,Mahindra,5,Non-Luxury,6400.0,53.125,0.07113354749885269
Tata Indigo CS LS (TDI) BS-III,375000,100000.0,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,Tata,8,Non-Luxury,12500.0,3.75,0.04911743772241993
Hyundai Verna 1.6 SX,522000,150000.0,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,Hyundai,11,Non-Luxury,13636.363636363636,3.48,0.07984829329962073
Hyundai i20 Magna 1.4 CRDi (Diesel),451999,69000.0,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai,11,Non-Luxury,6272.727272727273,6.550710144927536,0.06358166189111748
Toyota Corolla Altis G,300000,100000.0,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,Toyota,15,Non-Luxury,6666.666666666667,3.0,0.0768075639599555
Maruti Celerio VXI,475000,13000.0,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,Maruti,4,Non-Luxury,3250.0,36.53846153846154,0.06717434869739479
Maruti Vitara Brezza ZDi Plus Dual Tone,780000,60000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,8,Non-Luxury,7500.0,13.0,0.07091346153846154
Maruti Swift Dzire VXI,595000,40000.0,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,Maruti,7,Non-Luxury,5714.285714285715,14.875,0.06945697577276524
Maruti Wagon R VXI BS IV,440000,35000.0,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,Maruti,7,Non-Luxury,5000.0,12.571428571428571,0.06717434869739479
Maruti Swift VDI BSIV,300000,120000.0,Diesel,Individual,Manual,Second Owner,20.0,1197.0,81.83,5.0,Maruti,14,Non-Luxury,8571.42857142857,2.5,0.06836257309941521
Nissan Terrano XL 85 PS,400000,70000.0,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,Nissan,10,Non-Luxury,7000.0,5.714285714285714,0.05735797399041752
Hyundai Creta 1.6 CRDi SX,1140000,50000.0,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,Hyundai,8,Non-Luxury,6250.0,22.8,0.0797724399494311
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139.0,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,Ford,7,Non-Luxury,10877.0,11.163792537333036,0.06606141522029373
Maruti Swift Dzire VDi,370000,175000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,Maruti,12,Non-Luxury,14583.333333333334,2.1142857142857143,0.059214743589743594
Renault KWID 1.0,350000,25000.0,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,Renault,6,Non-Luxury,4166.666666666667,14.0,0.06706706706706707
Maruti Celerio VXI,360000,40000.0,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,Maruti,9,Non-Luxury,4444.444444444444,9.0,0.06717434869739479
Maruti Alto LXi,105000,65000.0,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,Maruti,16,Non-Luxury,4062.5,1.6153846153846154,0.05816582914572864
Maruti Ertiga VDI,625000,90000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,Maruti,11,Non-Luxury,8181.818181818182,6.944444444444445,0.07112179487179487
Hyundai Santro Xing GLS,135000,80000.0,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,Hyundai,15,Non-Luxury,5333.333333333333,1.6875,0.057182320441988954
Maruti Ertiga VDI,700000,110000.0,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,Maruti,9,Non-Luxury,12222.222222222223,6.363636363636363,0.07112179487179487
Honda Amaze S i-VTEC,690000,1303.0,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,Honda,5,Non-Luxury,260.6,529.5471987720645,0.07237061769616027
Audi Q5 35TDI Premium Plus,3975000,31800.0,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,Audi,6,Luxury,5300.0,125.0,0.09552845528455285
Lexus ES 300h,5150000,20000.0,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0,Lexus,5,Non-Luxury,4000.0,257.5,0.08627261761158021
Jaguar XF 2.0 Diesel Portfolio,3200000,45000.0,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,Jaguar,7,Luxury,6428.571428571428,71.11111111111111,0.08854427213606804
Jeep Wrangler 2016-2019 3.6 4X4,4100000,17000.0,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,Jeep,7,Non-Luxury,2428.5714285714284,241.1764705882353,0.07769145394006659
Land Rover Discovery Sport TD4 SE,4500000,21000.0,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,Land Rover,5,Luxury,4200.0,214.28571428571428,0.07419209604802401
Mercedes-Benz S-Class S 350 CDI,6000000,37000.0,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0,Mercedes-Benz,7,Luxury,5285.714285714285,162.16216216216216,0.08529963173752929
BMW 5 Series 520d Sport Line,3790000,29500.0,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,BMW,6,Non-Luxury,4916.666666666667,128.47457627118644,0.09410526315789475
BMW X1 sDrive 20D xLine,2150000,27000.0,Diesel,Dealer,Automatic,First Owner,20.0,1995.0,190.0,5.0,BMW,7,Non-Luxury,3857.1428571428573,79.62962962962963,0.09523809523809523
